college_id,college_name,status,home_university
2666,Mangaldeep College Of Engineering,Un-Aided,Dr. Babasaheb Ambedkar Marathwada University
3012,Veermata Jijabai Technological Institute(Vjti) Matunga Mumbai,Government-Aided Autonomous,Autonomous Institute
3014,Sardar Patel College Of Engineering Andheri,Government-Aided Autonomous,Autonomous Institute
3025,Svkm S Shri Bhagubhai Mafatlal Polytechnic College Of Engineering,Un-Aided Linguistic Minority - Gujarathi,Mumbai University
3033,Dr. Babasaheb Ambedkar Technological University Lonere,University,Dr. Babasaheb Ambedkar Technological University Lonere
3035,Usha Mittal Institute Of Technology Sndt Women S University Mumbai,University Managed (Un-Aided),SNDT Women s University
3036,Institute Of Chemical Technology Matunga Mumbai,Deemed University Autonomous,Deemed to be University
3042,Loknete Shamrao Peje Government College Of Engineering Ratnagiri,Government,Mumbai University
3135,Manjara Charitable Trust S Rajiv Gandhi Institute Of Technology Mumbai,Un-Aided,Mumbai University
3139,Vidyalankar Institute Of Technology Wadala Mumbai,Un-Aided Autonomous,Autonomous Institute
3143,Thakur Shyamnarayan Engineering College Mumbai,Un-Aided Linguistic Minority - Hindi,Mumbai University
3146,Jawahar Education Society S Annasaheb Chudaman Patil College Of Engineering Kharghar Navi Mumbai,Un-Aided,Mumbai University
3147,Saraswati Education Society Yadavrao Tasgaonkar Institute Of Engineering Technology Karjat,Un-Aided,Mumbai University
3148,Mahavir Education Trust S Shah Anchor Kutchhi Engineering College Mumbai,Un-Aided Autonomous Linguistic Minority - Gujarathi(Jain),Autonomous Institute
3154,Saraswati Education Society S Saraswati College Of Engineering Kharghar Navi Mumbai,Un-Aided,Mumbai University
3175,M.G.M. S College Of Engineering And Technology Kamothe Navi Mumbai,Un-Aided,Mumbai University
3176,Thakur College Of Engineering And Technology Kandivali Mumbai,Un-Aided Autonomous Linguistic Minority - Hindi,Autonomous Institute
3182,Thadomal Shahani Engineering College Bandra Mumbai,Un-Aided Linguistic Minority - Sindhi,Mumbai University
3183,Anjuman-I-Islam S M.H. Saboo Siddik College Of Engineering Byculla Mumbai,Un-Aided Religious Minority - Muslim,Mumbai University
